,ADJ,ADP,ADV,AUX,CCONJ,CONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SPACE,SYM,VDB,VDD,VDN,VDZ,VERB,X
ADJ,0.1123707687640074,0.06945482482883249,0.004289312637617995,0.001981442221388538,0.029653037014001134,9.796208089256859e-06,0.0016517464476414729,0.00018933351062478743,0.6257364673195119,0.0065057822452839085,0.011614434581067644,0.0004243641612167548,0.046859239226088076,0.06529282372459973,0.01198983075909648,3.2643145915551015e-09,0.0011359847421757668,2.2853466455477267e-05,3.2646410230142566e-05,3.2643145915551015e-09,3.917503941325277e-05,0.01039031660923448,0.0003558135547940976
ADP,0.1558250191726224,0.010013295610746143,0.011742247088409801,0.000796573911841229,0.0037164647759318193,2.611709180760814e-09,0.30042490967462565,0.002695286486254341,0.27651993554312193,0.06829358597942371,0.0016741081965768625,0.01670710624103611,0.10293007313467362,0.00785602382743771,0.0009924521003982902,2.6143208899415745e-06,0.0010420745748327455,2.611709180760814e-09,2.611709180760814e-09,2.611709180760814e-09,3.656654023983216e-05,0.03817535570689,0.0005562966672112341
ADV,0.17325875975807017,0.09870942817997964,0.07051569442644891,0.025832074882306055,0.010920118593837425,1.0449864252605907e-08,0.042593657143485925,0.00013585868514812938,0.031694448728017965,0.027995196782595478,0.007753809725297834,0.011975554883350621,0.00960343569800908,0.21512091595400942,0.009342189091693933,1.0449864252605907e-08,0.0006061025765153952,4.180990687467623e-05,1.046031411685851e-05,1.0449864252605907e-08,2.0910178369464416e-05,0.26320074138024924,0.0006688017620310306
AUX,0.08375160598589051,0.00913842909807775,0.13206493269680314,0.09180648285012744,0.0006373869475923021,7.967237254438095e-09,0.05071147309173574,2.3909679000568723e-05,0.01386300078995954,0.016077892746693332,0.055300601750292076,0.0012747659279473498,0.00282040995530834,0.0033382803768468162,0.002748704820018397,7.967237254438095e-09,0.00015138547507157827,7.967237254438095e-09,7.967237254438095e-09,3.984415350944492e-05,7.967237254438095e-09,0.536083533869359,0.00016731994958045444
CCONJ,0.1687934220270713,0.03581595644019366,0.04314796431311504,0.024056607470192223,0.0012495942672900683,8.275403919775818e-09,0.08713173614672351,0.00040550306747293483,0.27451170710220735,0.0632820220499296,0.010385640194722571,0.020903678576757637,0.12596820674223141,0.011660052398368047,0.005089381686066047,8.275403919775818e-09,0.009433968743948352,8.275403919775818e-09,0.0011668402280923102,8.275403919775818e-09,8.275403919775818e-09,0.11519363083868331,0.001804046329915048
CONJ,0.00014238929232521716,0.00014238929232521716,0.00014238929232521716,0.14253168161754234,0.00014238929232521716,0.00014238929232521716,0.14253168161754234,0.00014238929232521716,0.14253168161754234,0.00014238929232521716,0.00014238929232521716,0.00014238929232521716,0.2849209739427595,0.00014238929232521716,0.2849209739427595,0.00014238929232521716,0.00014238929232521716,0.00014238929232521716,0.00014238929232521716,0.00014238929232521716,0.00014238929232521716,0.00014238929232521716,0.00014238929232521716
DET,0.2658319822334884,0.012335966974665508,0.02186492098525955,0.02438613971279553,0.0006381384686445521,3.914935912322943e-09,0.007297444455505879,0.0001057071845686318,0.49443683496176205,0.024452693623305016,0.0002936241083601331,0.002568201873419763,0.07320147560355031,0.007739832213598371,0.00022707019785064302,3.914935912322943e-09,0.0006772878277677816,1.5663658585204098e-05,3.914935912322943e-09,3.914935912322943e-09,8.221756909469414e-05,0.06302655716742298,0.0008182255206114075
INTJ,0.0368742056472497,0.02977006606511519,0.012178863290305927,0.008457647318711662,0.020297879955602508,3.3829236105402427e-07,0.019283002872440436,0.009810816762927757,0.34302879240114165,0.0395805445356819,0.0010152153755231268,0.004736431347117393,0.058863209115761275,0.3494563472611681,0.0010152153755231268,3.3829236105402427e-07,0.022327634121926655,3.3829236105402427e-07,0.00033863065341507826,3.3829236105402427e-07,3.3829236105402427e-07,0.03924225217462787,0.003721554263955321
NOUN,0.015082223866592063,0.22911516284754316,0.012026061919205763,0.07653105316912084,0.05845270644748325,3.4648817544791413e-06,0.011976415162976971,0.000262089844434695,0.18499651519604135,0.0164423140721157,0.01221656691403717,0.003424472758636084,0.023638784573837952,0.2758858709422434,0.004829591417483506,4.6194574807301055e-06,0.006246255833593439,2.310306028228178e-06,6.696654669828213e-05,3.4648817544791413e-06,1.8474366195741668e-05,0.06650125383517871,0.0022722061838376223
NUM,0.031209516230238023,0.03667176412276886,0.006886173050677645,0.008053320036261157,0.02885187931935933,5.835734927917557e-09,0.007440567868829813,0.0008053372557875508,0.2781661469098532,0.028577599777747206,0.006541864689930509,0.0014764467724980698,0.040091504790528545,0.476662834748041,0.001989991446154815,5.835734927917557e-09,0.03217241249334442,5.835734927917557e-09,3.502024530243326e-05,5.835734927917557e-09,5.841570662845474e-06,0.01287363708672106,0.001488118242353905
PART,0.043543359232781166,0.008566328832734513,0.057485080823817314,0.05971870171252205,0.0017181944596727481,2.4545284491260812e-08,0.011290855411264464,0.00012275096774079532,0.08414125978132656,0.03345524730687297,0.002773641692796963,0.001325469907812575,0.007658153306557863,0.010726313867965465,0.00046638495061844667,2.4545284491260812e-08,0.0008345642179873587,2.4545284491260812e-08,2.4569829775752068e-05,2.4545284491260812e-08,2.4545284491260812e-08,0.6759771594346072,0.00017184153672331694
PRON,0.07447430362433377,0.03560359054808347,0.03878696791208673,0.29382017374929503,0.009187143299424872,2.792436284213383e-08,0.004440001616262121,2.795228720497596e-05,0.19133776211866385,0.004523774704788523,0.008963748396687801,0.0017871871462594073,0.019044443382698114,0.0314149361217634,0.0008377588096268571,2.792436284213383e-08,0.002652842394365556,0.00011172537573137747,2.792436284213383e-08,2.792436284213383e-08,0.00022342282709991276,0.2820640169927567,0.000698136995416188
PROPN,0.010503248614438998,0.06028886765094591,0.009161899244198734,0.04554999302318683,0.058308780485353144,3.992111220953164e-09,0.006111926271390515,0.0004750652274046475,0.15376415188956424,0.03887917517297409,0.007848494652505143,0.001409219253107688,0.18134564831512964,0.36575723405584015,0.0017126197059001284,3.992510432075259e-05,0.014335675386554034,0.0002634833326941298,6.786988286742475e-05,3.1940881878846264e-05,0.00027146755513603616,0.039753447530362834,0.004119862772134887
PUNCT,0.06512995611256212,0.05689509210788091,0.04506045808242843,0.01556290353690401,0.06038839264308116,1.8356807857069149e-09,0.0941942899926597,0.0015823586729601462,0.1598712771436817,0.1402221500134749,0.004376264828806071,0.028122631472710723,0.12959722962580328,0.11282277860601347,0.01645504439875757,1.8356807857069149e-09,0.0011473023267476075,1.8356807857069149e-09,0.0001927483181800118,3.6731972521995364e-06,1.8356807857069149e-09,0.06076654288493678,0.007608898692435948
SCONJ,0.11015894448014317,0.07019244805267598,0.023698759997607365,0.0019414545722692832,0.004351494557845194,3.34727775774432e-08,0.28619228175991696,0.0010042168001008736,0.20759820000808032,0.06115479810676631,0.004351494557845194,0.07882842466765633,0.08545603462799008,0.012920525617670653,0.01111299562848872,3.34727775774432e-08,0.0009372712449459872,3.3506250355020644e-05,3.3506250355020644e-05,3.34727775774432e-08,0.0005021251364392254,0.03849372768683726,0.0010376895776783167
SPACE,4.99425660490436e-05,0.04999250861509264,0.04999250861509264,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05,0.14987764071317983,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05,0.6493033012036158,4.99425660490436e-05,4.99425660490436e-05,0.09993507466413624,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05,4.99425660490436e-05
SYM,0.028325624253346116,0.008994960227717457,0.0021230767735199844,0.000558745580694544,0.0055869529862048895,5.586897117233717e-08,0.0013967801482796015,0.016704878249499986,0.2512428192309714,0.45706410902986155,0.00122917323476259,0.00122917323476259,0.17168540428156331,0.03553272153457761,0.0002794007248328582,5.586897117233717e-08,0.0049723943033091805,5.586897117233717e-08,5.586897117233717e-08,5.586897117233717e-08,5.586897117233717e-08,0.008659746400683434,0.004413704591585809
VDB,1.1233052132594949e-05,0.022477337317322488,0.07864259798029723,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,0.07864259798029723,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,0.6515282567426396,0.13480785864327197,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,1.1233052132594949e-05,0.03371038944991744,1.1233052132594949e-05
VDD,0.0258632331771176,0.031609979800185616,0.33044080419972244,2.873373311534008e-06,2.873373311534008e-06,2.873373311534008e-06,2.873373311534008e-06,2.873373311534008e-06,0.17815201868842,2.873373311534008e-06,0.008622993307913556,2.873373311534008e-06,0.30458044439591636,2.873373311534008e-06,0.008622993307913556,2.873373311534008e-06,2.873373311534008e-06,2.873373311534008e-06,2.873373311534008e-06,2.873373311534008e-06,2.873373311534008e-06,0.11206443252313783,2.873373311534008e-06
VDN,1.6942547820341222e-05,0.5421784727987394,0.06778713382918523,1.6942547820341222e-05,1.6942547820341222e-05,1.6942547820341222e-05,0.01695949036816156,1.6942547820341222e-05,0.050844586008844006,1.6942547820341222e-05,0.01695949036816156,0.033902038188502785,0.18638496857157377,1.6942547820341222e-05,0.01695949036816156,0.033902038188502785,1.6942547820341222e-05,1.6942547820341222e-05,1.6942547820341222e-05,1.6942547820341222e-05,1.6942547820341222e-05,0.033902038188502785,1.6942547820341222e-05
